Bilanci distretti;;;;
strumento;cep;bozov;bozcen;distr04
cal03_SER003_0723_28784_cep_q;-1;0;0;0
cal07_SER004_0729_28784_flavon_q;0;0;0;0
cal11_SER007_0747_28784_s_giorgio_q;0;-1;0;0
cal12_SER007_0747_28792_s_gio_guncina_q;0;0;0;0
cal13_SER007_0747_28794_s_gio_refenstein_q;0;0;0;0
cal15_SER002_0756_28784_s_maurizio_q_in;0;0;0;0
cal16_SER002_0756_28786_s_maurizio_q_out;0;0;0;0
cal22_SER008_0760_28968_s_pietro_citta_vecchia_q;0;0;0;0
cal23_SER008_0760_28966_s_pietro_prato_volpe_q;0;1;0;0
cal24_SER008_0760_28970_s_pietro_q;0;-1;0;0
cal27_SER001_0761_28774_campegno_q_ingresso;0;0;0;0
cal28_SER001_0761_28778_campegno_cardano_q;0;0;0;0
cal29_SER001_0761_28776_campegno_piani_q;0;0;0;0
cal32_POZ001_0727_28942_aeroporto_q;0;0;0;0
cal35_POZ003_0728_28950_tambosi_q;0;0;0;0
cal38_POZ002_0731_28942_parma_q;0;1;0;0
cal42_POZ008_0732_28948_macello_q;0;0;0;0
cal45_POZ008_0735_28942_battisti_q;0;1;0;0
cal48_POZ009_0736_28942_petrarca_q;0;1;0;0
cal51_POZ006_0737_28944_cardano_q;0;0;0;0
cal54_POZ007_0738_28942_mazzini_q;0;1;0;0
cal59_POZ004_0743_28940_ronco_1_sud_asilo_q;0;1;0;0
cal60_POZ004_0743_28942_ronco_2_ovest_crip_q;0;1;0;0
cal61_POZ004_0743_28944_ronco_3_nord_centr_q;0;1;0;0
cal62_POZ004_0743_28818_ronco_q_totale;0;0;0;0
cal65_RIL003_0748_28964_ril_s_giorgio_miram_q_imp;0;0;0;0
cal66_RIL003_0748_28962_ril_s_giorgio_rete_q_imp;0;0;0;0
cal70_RIL004_0759_28962_s_madda_usc_serb_q;0;0;0;0
cal73_RIL005_0762_28772_costa_di_sotto_rilancio_q;0;0;0;0
cal76_SOR002_0749_28778_collare_sorgente_modbus_q;0;0;0;0
cal77_SOR003_0754_28778_grifo_sorgente_q_imp;0;0;0;0
cal78_DST005_0361_20251_Q_01_ponte_resia_q;0;-1;0;0
cal79_DST001_0763_20576_Q_02_ponte_talvera_q;0;-1;0;0
cal80_DST002_0767_20576_Q_03_ponte_druso_q;0;-1;1;0
cal81_DST007_0837_20576_Q_04_valdega_carab_q;0;0;0;0
cal82_DST006_0766_20576_Q_05_rencio_x_s_giustina_q;0;0;0;0
cal83_DST003_0765_20576_Q_06_ponte_roma_q;0;1;0;0
cal84_SER002_0756_28784_Q_07_serb_s_maurizio_q;0;1;0;0
cal85____Q_08_rilancio_cep_q;1;0;0;0
